,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,log10padj,significant,symbol
ENSG00000099953.10,4104.379212,5.434316253,0.270821122,20.06607242,1.46E-89,3.72E-85,84.42908583,TRUE,MMP11
ENSG00000168079.17,1636.166596,-5.056633518,0.346638193,-14.58764101,3.37E-48,4.29E-44,43.3676163,TRUE,SCARA5
ENSG00000165474.8,1111.17623,5.71932183,0.399192089,14.32724243,1.48E-46,1.26E-42,41.90097096,TRUE,GJB2
ENSG00000060718.22,5808.378815,6.881435381,0.500970302,13.7362142,6.16E-43,3.93E-39,38.40612732,TRUE,COL11A1
ENSG00000168497.5,1781.713233,-2.680658523,0.205661716,-13.03430981,7.81E-39,3.98E-35,34.40023378,TRUE,CAVIN2
ENSG00000169245.6,2163.907381,4.561936083,0.350769605,13.00550565,1.14E-38,4.84E-35,34.31559285,TRUE,CXCL10
ENSG00000169248.13,536.4936649,5.175297802,0.400737268,12.91444098,3.73E-38,1.36E-34,33.86697086,TRUE,CXCL11
ENSG00000170373.9,1302.993554,7.308818038,0.585666753,12.47948257,9.66E-36,3.08E-32,31.51180642,TRUE,CST1
ENSG00000183682.8,372.9106881,3.553144879,0.295220158,12.03557679,2.31E-33,6.54E-30,29.18435407,TRUE,BMP8A
ENSG00000146477.6,221.4228087,-3.313632935,0.304026009,-10.89917584,1.16E-27,2.96E-24,23.52814746,TRUE,SLC22A3
ENSG00000154451.15,1422.292089,3.18691956,0.292793027,10.88454731,1.37E-27,3.16E-24,23.49976936,TRUE,GBP5
ENSG00000123500.10,3398.819362,6.334036539,0.591478632,10.70881719,9.25E-27,1.97E-23,22.70661754,TRUE,COL10A1
ENSG00000165197.5,587.8675686,-5.868300245,0.561063027,-10.45925318,1.33E-25,2.61E-22,21.58417106,TRUE,VEGFD
ENSG00000104415.14,1458.631648,3.862379489,0.379225347,10.18491914,2.32E-24,4.21E-21,20.37522834,TRUE,CCN4
ENSG00000175305.18,329.5521755,3.178949723,0.313004906,10.15622971,3.11E-24,5.28E-21,20.27726722,TRUE,CCNE2
ENSG00000140534.14,210.4827892,3.667157451,0.371631512,9.867724697,5.75E-23,9.15E-20,19.03855657,TRUE,TICRR
ENSG00000168874.13,438.4357668,-3.820027048,0.387619406,-9.855097534,6.52E-23,9.77E-20,19.01026124,TRUE,ATOH8
ENSG00000185559.16,319.704061,-7.387451682,0.754089974,-9.796512265,1.17E-22,1.65E-19,18.78254594,TRUE,DLK1
ENSG00000230838.2,634.6682075,4.890596324,0.499676576,9.787523696,1.27E-22,1.71E-19,18.76741133,TRUE,LINC01614
ENSG00000105664.11,1504.866141,4.76878216,0.498839077,9.559760607,1.18E-21,1.50E-18,17.82278924,TRUE,COMP
ENSG00000078596.11,2124.976881,-2.439053242,0.258281548,-9.443389454,3.61E-21,4.38E-18,17.3585678,TRUE,ITM2A
ENSG00000143476.18,627.5382017,3.600266246,0.38378171,9.38102612,6.53E-21,7.24E-18,17.14033964,TRUE,DTL
ENSG00000172061.9,6684.388709,5.345173117,0.569515805,9.385469324,6.26E-21,7.24E-18,17.14033964,TRUE,LRRC15
ENSG00000170962.13,2471.961411,-2.456740796,0.262773256,-9.34928018,8.82E-21,9.37E-18,17.0282645,TRUE,PDGFD
ENSG00000130032.17,418.5556866,-4.253939522,0.463545511,-9.176961969,4.43E-20,4.52E-17,16.34486945,TRUE,PRRG3
ENSG00000196611.6,841.4198876,7.918813199,0.865865414,9.145547417,5.93E-20,5.60E-17,16.251849,TRUE,MMP1
ENSG00000229989.6,400.4474321,2.482390298,0.271318102,9.149372184,5.73E-20,5.60E-17,16.251849,TRUE,NA
