"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","log10padj","significant","symbol"
"ENSG00000099953.10",4104.37921157252,5.43431625268115,0.270821122310707,20.0660724182602,1.46104509490286e-89,3.72318121534096e-85,84.4290858252086,TRUE,"MMP11"
"ENSG00000168079.17",1636.16659606558,-5.05663351786628,0.346638192796621,-14.5876410128676,3.36638002854263e-48,4.28927311336759e-44,43.3676162997968,TRUE,"SCARA5"
"ENSG00000165474.8",1111.17622976975,5.71932183002751,0.39919208861481,14.3272424307643,1.47876697922568e-46,1.25611396438693e-42,41.9009709562524,TRUE,"GJB2"
"ENSG00000060718.22",5808.3788151912,6.88143538110975,0.500970302494709,13.7362141964142,6.16143852993198e-43,3.92529845145642e-39,38.4061273170352,TRUE,"COL11A1"
"ENSG00000168497.5",1781.71323258096,-2.68065852281276,0.205661716000824,-13.0343098119536,7.80702672010187e-39,3.97892923816712e-35,34.4002337843386,TRUE,"CAVIN2"
"ENSG00000169245.6",2163.90738078151,4.561936082696,0.350769605279315,13.0055056482541,1.13843396715903e-38,4.83511879751893e-35,34.3155928509557,TRUE,"CXCL10"
"ENSG00000169248.13",536.493664932329,5.17529780246689,0.400737268424429,12.9144409822788,3.73144142230557e-38,1.35840459663732e-34,33.8669708575103,TRUE,"CXCL11"
"ENSG00000170373.9",1302.99355352864,7.30881803792857,0.5856667529822,12.4794825738567,9.66124312523806e-36,3.07746823200552e-32,31.5118064214952,TRUE,"CST1"
"ENSG00000183682.8",372.910688147449,3.55314487942993,0.295220157762967,12.0355767924315,2.31013781166201e-33,6.54102687273145e-30,29.184354066637,TRUE,"BMP8A"
"ENSG00000146477.6",221.422808716461,-3.31363293516722,0.304026009331257,-10.8991758384619,1.1630596307248e-27,2.96382485697602e-24,23.5281474639506,TRUE,"SLC22A3"
"ENSG00000154451.15",1422.29208883003,3.18691955960664,0.292793027347713,10.8845473147895,1.36575491406695e-27,3.16395749774255e-24,23.499769359125,TRUE,"GBP5"
"ENSG00000123500.10",3398.81936174767,6.33403653917219,0.591478631521205,10.7088171940918,9.25365170292051e-27,1.96509005287936e-23,22.7066175427072,TRUE,"COL10A1"
"ENSG00000165197.5",587.867568625723,-5.86830024540193,0.561063026606398,-10.459253180336,1.32899007598906e-25,2.60512723895609e-22,21.5841710601468,TRUE,"VEGFD"
"ENSG00000104415.14",1458.63164755609,3.86237948918608,0.379225346569062,10.1849191361546,2.31552321972062e-24,4.21474844343862e-21,20.3752283410598,TRUE,"CCN4"
"ENSG00000175305.18",329.552175510305,3.17894972333608,0.313004905763202,10.1562297101537,3.10866187606104e-24,5.28120203917757e-21,20.2772672176996,TRUE,"CCNE2"
"ENSG00000140534.14",210.482789217427,3.66715745079756,0.371631512162093,9.86772469714051,5.74530189492705e-23,9.15047051177662e-20,19.0385565741942,TRUE,"TICRR"
"ENSG00000168874.13",438.435766835336,-3.82002704849185,0.387619405607935,-9.8550975343987,6.51534061066892e-23,9.7664955753927e-20,19.0102612423499,TRUE,"ATOH8"
"ENSG00000185559.16",319.704061040151,-7.38745168211058,0.754089974301559,-9.7965122649361,1.16540266881305e-22,1.64988645607572e-19,18.7825459425719,TRUE,"DLK1"
"ENSG00000230838.2",634.668207537568,4.89059632440005,0.499676575645624,9.78752369586466,1.27377206145627e-22,1.70839649695211e-19,18.7674113277603,TRUE,"LINC01614"
"ENSG00000105664.11",1504.86614107368,4.76878216004378,0.49883907724079,9.55976060741104,1.18029401127734e-21,1.50387161446902e-18,17.8227892378851,TRUE,"COMP"
"ENSG00000078596.11",2124.976881312,-2.43905324213717,0.258281547543101,-9.44338945363547,3.60911685841883e-21,4.37957737633748e-18,17.3585677963407,TRUE,"ITM2A"
"ENSG00000143476.18",627.538201662891,3.600266245685,0.383781709976383,9.38102612004763,6.53337590253845e-21,7.23869644019075e-18,17.1403396354332,TRUE,"DTL"
"ENSG00000172061.9",6684.38870908896,5.34517311666255,0.569515804916035,9.38546932415792,6.26368565829276e-21,7.23869644019075e-18,17.1403396354332,TRUE,"LRRC15"
"ENSG00000170962.13",2471.96141136286,-2.45674079585385,0.26277325617789,-9.3492801801364,8.82462360597043e-21,9.36991180628936e-18,17.0282644968627,TRUE,"PDGFD"
"ENSG00000130032.17",418.555686620357,-4.25393952169276,0.463545510588998,-9.17696196925206,4.43424821418363e-20,4.51991788968166e-17,16.3448694546537,TRUE,"PRRG3"
"ENSG00000196611.6",841.419887585448,7.91881319925862,0.865865413899647,9.14554741665245,5.93286150758735e-20,5.59952258510549e-17,16.2518489993318,TRUE,"MMP1"
"ENSG00000229989.6",400.447432051937,2.48239029837072,0.27131810231551,9.14937218410883,5.72653742055585e-20,5.59952258510549e-17,16.2518489993318,TRUE,NA
